Algorithm,Cost,Time,Algorithm,Knapsack,Recursive Knapsack,Dynamic,Static
Knapsack,4920,0.001013517,#N/A,0.001013517,#N/A,#N/A,#N/A
Recursive Knapsack,4920,0.019257784,#N/A,#N/A,0.019257784,#N/A,#N/A
Dynamic,4206,0.002030373,#N/A,#N/A,#N/A,0.002030373,#N/A
Static,6350,0.001511097,#N/A,#N/A,#N/A,#N/A,0.001511097
Algorithm,1773,0.002398968,0.002398968,#N/A,#N/A,#N/A,#N/A
Knapsack,4894,0.000987291,#N/A,0.000987291,#N/A,#N/A,#N/A
Recursive Knapsack,4894,0.006245375,#N/A,#N/A,0.006245375,#N/A,#N/A
Dynamic,4801,0.00102663,#N/A,#N/A,#N/A,0.00102663,#N/A
Static,5089,0.001099348,#N/A,#N/A,#N/A,#N/A,0.001099348
Algorithm,1614,0.002015352,0.002015352,#N/A,#N/A,#N/A,#N/A
Knapsack,4670,0.000992537,#N/A,0.000992537,#N/A,#N/A,#N/A
Recursive Knapsack,4670,0.013315201,#N/A,#N/A,0.013315201,#N/A,#N/A
Dynamic,4787,0.002314806,#N/A,#N/A,#N/A,0.002314806,#N/A
Static,3320,0.001015186,#N/A,#N/A,#N/A,#N/A,0.001015186
Algorithm,1902,0.001235485,0.001235485,#N/A,#N/A,#N/A,#N/A
Knapsack,5193,0.001062632,#N/A,0.001062632,#N/A,#N/A,#N/A
Recursive Knapsack,5193,0.157946348,#N/A,#N/A,0.157946348,#N/A,#N/A
Dynamic,5300,0.001998901,#N/A,#N/A,#N/A,0.001998901,#N/A
Static,3340,0.001000881,#N/A,#N/A,#N/A,#N/A,0.001000881
Algorithm,2298,0.001292467,0.001292467,#N/A,#N/A,#N/A,#N/A
Knapsack,5217,0.001281023,#N/A,0.001281023,#N/A,#N/A,#N/A
Recursive Knapsack,inf,0.006183147,#N/A,#N/A,0.006183147,#N/A,#N/A
Dynamic,4970,0.001094341,#N/A,#N/A,#N/A,0.001094341,#N/A
Static,1792,0.00139451,#N/A,#N/A,#N/A,#N/A,0.00139451
Algorithm,1563,0.002188921,0.002188921,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,5359,0.011766434,#N/A,#N/A,0.011766434,#N/A,#N/A
Dynamic,5027,0.001849174,#N/A,#N/A,#N/A,0.001849174,#N/A
Static,5291,0.00201273,#N/A,#N/A,#N/A,#N/A,0.00201273
Algorithm,1776,0.001997948,0.001997948,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4993,0.011207342,#N/A,#N/A,0.011207342,#N/A,#N/A
Dynamic,4596,0.001554251,#N/A,#N/A,#N/A,0.001554251,#N/A
Static,3940,0.001982927,#N/A,#N/A,#N/A,#N/A,0.001982927
Algorithm,1233,0.001392365,0.001392365,#N/A,#N/A,#N/A,#N/A
Knapsack,4606,0.001023769,#N/A,0.001023769,#N/A,#N/A,#N/A
Recursive Knapsack,4606,0.019062757,#N/A,#N/A,0.019062757,#N/A,#N/A
Dynamic,3496,0.001983166,#N/A,#N/A,#N/A,0.001983166,#N/A
Static,5816,0.002150536,#N/A,#N/A,#N/A,#N/A,0.002150536
Algorithm,1181,0.002141953,0.002141953,#N/A,#N/A,#N/A,#N/A
Knapsack,4715,0.001417637,#N/A,0.001417637,#N/A,#N/A,#N/A
Recursive Knapsack,4715,0.034050703,#N/A,#N/A,0.034050703,#N/A,#N/A
Dynamic,3756,0.002360821,#N/A,#N/A,#N/A,0.002360821,#N/A
Static,5619,0.002026558,#N/A,#N/A,#N/A,#N/A,0.002026558
Algorithm,1669,0.001999378,0.001999378,#N/A,#N/A,#N/A,#N/A
Knapsack,4955,0.001498699,#N/A,0.001498699,#N/A,#N/A,#N/A
Recursive Knapsack,4955,0.236223698,#N/A,#N/A,0.236223698,#N/A,#N/A
Dynamic,4702,0.000999451,#N/A,#N/A,#N/A,0.000999451,#N/A
Static,4818,0.001999617,#N/A,#N/A,#N/A,#N/A,0.001999617
Algorithm,1497,0.002561331,0.002561331,#N/A,#N/A,#N/A,#N/A
Knapsack,4819,0.001368523,#N/A,0.001368523,#N/A,#N/A,#N/A
Recursive Knapsack,4819,0.010947704,#N/A,#N/A,0.010947704,#N/A,#N/A
Dynamic,4209,0.001116991,#N/A,#N/A,#N/A,0.001116991,#N/A
Static,5493,0.004373789,#N/A,#N/A,#N/A,#N/A,0.004373789
Algorithm,1878,0.003127337,0.003127337,#N/A,#N/A,#N/A,#N/A
Knapsack,5121,0.000994682,#N/A,0.000994682,#N/A,#N/A,#N/A
Recursive Knapsack,5121,0.013206482,#N/A,#N/A,0.013206482,#N/A,#N/A
Dynamic,5108,0.001023769,#N/A,#N/A,#N/A,0.001023769,#N/A
Static,5568,0.00250864,#N/A,#N/A,#N/A,#N/A,0.00250864
Algorithm,2021,0.002023697,0.002023697,#N/A,#N/A,#N/A,#N/A
Knapsack,5296,0.002431631,#N/A,0.002431631,#N/A,#N/A,#N/A
Recursive Knapsack,5296,0.008820295,#N/A,#N/A,0.008820295,#N/A,#N/A
Dynamic,5529,0.001507759,#N/A,#N/A,#N/A,0.001507759,#N/A
Static,5758,0.002017498,#N/A,#N/A,#N/A,#N/A,0.002017498
Algorithm,1814,0.002007008,0.002007008,#N/A,#N/A,#N/A,#N/A
Knapsack,5097,0.001001835,#N/A,0.001001835,#N/A,#N/A,#N/A
Recursive Knapsack,5097,0.011021614,#N/A,#N/A,0.011021614,#N/A,#N/A
Dynamic,5087,0.002296925,#N/A,#N/A,#N/A,0.002296925,#N/A
Static,4769,0.002279758,#N/A,#N/A,#N/A,#N/A,0.002279758
Algorithm,1725,0.001996279,0.001996279,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,5134,0.058018923,#N/A,#N/A,0.058018923,#N/A,#N/A
Dynamic,4489,0.001007795,#N/A,#N/A,#N/A,0.001007795,#N/A
Static,6313,0.002017736,#N/A,#N/A,#N/A,#N/A,0.002017736
Algorithm,1534,0.001285791,0.001285791,#N/A,#N/A,#N/A,#N/A
Knapsack,5085,0.001182795,#N/A,0.001182795,#N/A,#N/A,#N/A
Recursive Knapsack,5085,0.014997244,#N/A,#N/A,0.014997244,#N/A,#N/A
Dynamic,4263,0.003143311,#N/A,#N/A,#N/A,0.003143311,#N/A
Static,6912,0.002238512,#N/A,#N/A,#N/A,#N/A,0.002238512
Algorithm,1273,0.002997398,0.002997398,#N/A,#N/A,#N/A,#N/A
Knapsack,4565,0.001001835,#N/A,0.001001835,#N/A,#N/A,#N/A
Recursive Knapsack,4565,0.013380527,#N/A,#N/A,0.013380527,#N/A,#N/A
Dynamic,3930,0.00199914,#N/A,#N/A,#N/A,0.00199914,#N/A
Static,4039,0.002126217,#N/A,#N/A,#N/A,#N/A,0.002126217
Algorithm,1565,0.001000166,0.001000166,#N/A,#N/A,#N/A,#N/A
Knapsack,5023,0.001060247,#N/A,0.001060247,#N/A,#N/A,#N/A
Recursive Knapsack,5023,0.314053535,#N/A,#N/A,0.314053535,#N/A,#N/A
Dynamic,4251,0.000999928,#N/A,#N/A,#N/A,0.000999928,#N/A
Static,6454,0.002712488,#N/A,#N/A,#N/A,#N/A,0.002712488
Algorithm,1218,0.000997066,0.000997066,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4859,0.016489983,#N/A,#N/A,0.016489983,#N/A,#N/A
Dynamic,3850,0.001999378,#N/A,#N/A,#N/A,0.001999378,#N/A
Static,6263,0.002311707,#N/A,#N/A,#N/A,#N/A,0.002311707
Algorithm,1970,0.001997948,0.001997948,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,5649,0.113047838,#N/A,#N/A,0.113047838,#N/A,#N/A
Dynamic,5629,0.001999378,#N/A,#N/A,#N/A,0.001999378,#N/A
Static,6871,0.001000643,#N/A,#N/A,#N/A,#N/A,0.001000643
Algorithm,1650,0.002607107,0.002607107,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4984,0.015512943,#N/A,#N/A,0.015512943,#N/A,#N/A
Dynamic,4602,0.001542568,#N/A,#N/A,#N/A,0.001542568,#N/A
Static,4615,0.002453327,#N/A,#N/A,#N/A,#N/A,0.002453327
Algorithm,1810,0.001488209,0.001488209,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4989,0.016485453,#N/A,#N/A,0.016485453,#N/A,#N/A
Dynamic,5515,0.003448248,#N/A,#N/A,#N/A,0.003448248,#N/A
Static,2373,0.002001286,#N/A,#N/A,#N/A,#N/A,0.002001286
Algorithm,1490,0.002377748,0.002377748,#N/A,#N/A,#N/A,#N/A
Knapsack,4812,0.001413822,#N/A,0.001413822,#N/A,#N/A,#N/A
Recursive Knapsack,4812,0.019235611,#N/A,#N/A,0.019235611,#N/A,#N/A
Dynamic,4347,0.002004147,#N/A,#N/A,#N/A,0.002004147,#N/A
Static,5045,0.002017736,#N/A,#N/A,#N/A,#N/A,0.002017736
Algorithm,1739,0.001014709,0.001014709,#N/A,#N/A,#N/A,#N/A
Knapsack,5085,0.001027346,#N/A,0.001027346,#N/A,#N/A,#N/A
Recursive Knapsack,5085,0.012937069,#N/A,#N/A,0.012937069,#N/A,#N/A
Dynamic,4807,0.002798796,#N/A,#N/A,#N/A,0.002798796,#N/A
Static,5573,0.001008272,#N/A,#N/A,#N/A,#N/A,0.001008272
Algorithm,2130,0.001008272,0.001008272,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,5158,0.009547949,#N/A,#N/A,0.009547949,#N/A,#N/A
Dynamic,5388,0.002521038,#N/A,#N/A,#N/A,0.002521038,#N/A
Static,3242,0.001999617,#N/A,#N/A,#N/A,#N/A,0.001999617
Algorithm,1372,0.002892494,0.002892494,#N/A,#N/A,#N/A,#N/A
Knapsack,4731,0.001208305,#N/A,0.001208305,#N/A,#N/A,#N/A
Recursive Knapsack,4731,0.134671688,#N/A,#N/A,0.134671688,#N/A,#N/A
Dynamic,4974,0.001527786,#N/A,#N/A,#N/A,0.001527786,#N/A
Static,2887,0.00142312,#N/A,#N/A,#N/A,#N/A,0.00142312
Algorithm,1301,0.001195192,0.001195192,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4755,0.018273354,#N/A,#N/A,0.018273354,#N/A,#N/A
Dynamic,3946,0.00211525,#N/A,#N/A,#N/A,0.00211525,#N/A
Static,5777,0.001012564,#N/A,#N/A,#N/A,#N/A,0.001012564
Algorithm,1429,0.001036882,0.001036882,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4800,0.045675993,#N/A,#N/A,0.045675993,#N/A,#N/A
Dynamic,4323,0.000999928,#N/A,#N/A,#N/A,0.000999928,#N/A
Static,6600,0.002000093,#N/A,#N/A,#N/A,#N/A,0.002000093
Algorithm,2062,0.002013922,0.002013922,#N/A,#N/A,#N/A,#N/A
Knapsack,5075,0.001472473,#N/A,0.001472473,#N/A,#N/A,#N/A
Recursive Knapsack,5075,0.007009745,#N/A,#N/A,0.007009745,#N/A,#N/A
Dynamic,4612,0.001999855,#N/A,#N/A,#N/A,0.001999855,#N/A
Static,4211,0.001000881,#N/A,#N/A,#N/A,#N/A,0.001000881
Algorithm,1213,0.001983166,0.001983166,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4666,0.011374712,#N/A,#N/A,0.011374712,#N/A,#N/A
Dynamic,4138,0.002029896,#N/A,#N/A,#N/A,0.002029896,#N/A
Static,4913,0.001000404,#N/A,#N/A,#N/A,#N/A,0.001000404
Algorithm,1962,0.002446175,0.002446175,#N/A,#N/A,#N/A,#N/A
Knapsack,5200,0.00100255,#N/A,0.00100255,#N/A,#N/A,#N/A
Recursive Knapsack,5200,0.035652161,#N/A,#N/A,0.035652161,#N/A,#N/A
Dynamic,4883,0.000999928,#N/A,#N/A,#N/A,0.000999928,#N/A
Static,6166,0.001999855,#N/A,#N/A,#N/A,#N/A,0.001999855
Algorithm,1450,0.000995636,0.000995636,#N/A,#N/A,#N/A,#N/A
Knapsack,4807,0.001000166,#N/A,0.001000166,#N/A,#N/A,#N/A
Recursive Knapsack,4807,0.008999825,#N/A,#N/A,0.008999825,#N/A,#N/A
Dynamic,4220,0.002562284,#N/A,#N/A,#N/A,0.002562284,#N/A
Static,3746,0.001000404,#N/A,#N/A,#N/A,#N/A,0.001000404
Algorithm,1462,0.001986265,0.001986265,#N/A,#N/A,#N/A,#N/A
Knapsack,5231,0.000999928,#N/A,0.000999928,#N/A,#N/A,#N/A
Recursive Knapsack,5231,0.01699996,#N/A,#N/A,0.01699996,#N/A,#N/A
Dynamic,4675,0.002000332,#N/A,#N/A,#N/A,0.002000332,#N/A
Static,6298,0.001999617,#N/A,#N/A,#N/A,#N/A,0.001999617
Algorithm,1591,0.001999855,0.001999855,#N/A,#N/A,#N/A,#N/A
Knapsack,5119,0.000998735,#N/A,0.000998735,#N/A,#N/A,#N/A
Recursive Knapsack,5119,0.013325453,#N/A,#N/A,0.013325453,#N/A,#N/A
Dynamic,4852,0.001000881,#N/A,#N/A,#N/A,0.001000881,#N/A
Static,5554,0.003640652,#N/A,#N/A,#N/A,#N/A,0.003640652
Algorithm,905,0.002012491,0.002012491,#N/A,#N/A,#N/A,#N/A
Knapsack,4437,0.001144886,#N/A,0.001144886,#N/A,#N/A,#N/A
Recursive Knapsack,4437,0.015632153,#N/A,#N/A,0.015632153,#N/A,#N/A
Dynamic,3216,0.002008677,#N/A,#N/A,#N/A,0.002008677,#N/A
Static,5961,0.001514435,#N/A,#N/A,#N/A,#N/A,0.001514435
Algorithm,1169,0.002001286,0.002001286,#N/A,#N/A,#N/A,#N/A
Knapsack,4732,0.001102448,#N/A,0.001102448,#N/A,#N/A,#N/A
Recursive Knapsack,4732,0.119361401,#N/A,#N/A,0.119361401,#N/A,#N/A
Dynamic,4072,0.000999928,#N/A,#N/A,#N/A,0.000999928,#N/A
Static,5346,0.001488447,#N/A,#N/A,#N/A,#N/A,0.001488447
Algorithm,1227,0.001881599,0.001881599,#N/A,#N/A,#N/A,#N/A
Knapsack,4228,0.001797676,#N/A,0.001797676,#N/A,#N/A,#N/A
Recursive Knapsack,4228,0.121256351,#N/A,#N/A,0.121256351,#N/A,#N/A
Dynamic,4209,0.002000093,#N/A,#N/A,#N/A,0.002000093,#N/A
Static,4268,0.001999855,#N/A,#N/A,#N/A,#N/A,0.001999855
Algorithm,1842,0.001000166,0.001000166,#N/A,#N/A,#N/A,#N/A
Knapsack,4949,0.001000166,#N/A,0.001000166,#N/A,#N/A,#N/A
Recursive Knapsack,4949,0.030999899,#N/A,#N/A,0.030999899,#N/A,#N/A
Dynamic,5091,0.001999855,#N/A,#N/A,#N/A,0.001999855,#N/A
Static,4051,0.000999928,#N/A,#N/A,#N/A,#N/A,0.000999928
Algorithm,1526,0.003000259,0.003000259,#N/A,#N/A,#N/A,#N/A
Knapsack,4631,0.001000166,#N/A,0.001000166,#N/A,#N/A,#N/A
Recursive Knapsack,4631,0.126591921,#N/A,#N/A,0.126591921,#N/A,#N/A
Dynamic,3726,0.001000166,#N/A,#N/A,#N/A,0.001000166,#N/A
Static,4752,0.002000093,#N/A,#N/A,#N/A,#N/A,0.002000093
Algorithm,1271,0.001999855,0.001999855,#N/A,#N/A,#N/A,#N/A
Knapsack,4452,0.001018286,#N/A,0.001018286,#N/A,#N/A,#N/A
Recursive Knapsack,4452,0.089311123,#N/A,#N/A,0.089311123,#N/A,#N/A
Dynamic,3787,0.000999689,#N/A,#N/A,#N/A,0.000999689,#N/A
Static,5482,0.002212048,#N/A,#N/A,#N/A,#N/A,0.002212048
Algorithm,1341,0.001787901,0.001787901,#N/A,#N/A,#N/A,#N/A
Knapsack,4945,0.001335382,#N/A,0.001335382,#N/A,#N/A,#N/A
Recursive Knapsack,4945,0.007654905,#N/A,#N/A,0.007654905,#N/A,#N/A
Dynamic,4617,0.001254559,#N/A,#N/A,#N/A,0.001254559,#N/A
Static,5331,0.002499819,#N/A,#N/A,#N/A,#N/A,0.002499819
Algorithm,1589,0.002013206,0.002013206,#N/A,#N/A,#N/A,#N/A
Knapsack,5153,0.000998735,#N/A,0.000998735,#N/A,#N/A,#N/A
Recursive Knapsack,5153,0.431260347,#N/A,#N/A,0.431260347,#N/A,#N/A
Dynamic,4653,0.002016783,#N/A,#N/A,#N/A,0.002016783,#N/A
Static,5764,0.002000093,#N/A,#N/A,#N/A,#N/A,0.002000093
Algorithm,1514,0.002014637,0.002014637,#N/A,#N/A,#N/A,#N/A
Knapsack,4513,0.001010895,#N/A,0.001010895,#N/A,#N/A,#N/A
Recursive Knapsack,4513,0.010015726,#N/A,#N/A,0.010015726,#N/A,#N/A
Dynamic,3846,0.002081156,#N/A,#N/A,#N/A,0.002081156,#N/A
Static,5845,0.001538038,#N/A,#N/A,#N/A,#N/A,0.001538038
Algorithm,1760,0.001999378,0.001999378,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4951,0.201113939,#N/A,#N/A,0.201113939,#N/A,#N/A
Dynamic,4485,0.000999928,#N/A,#N/A,#N/A,0.000999928,#N/A
Static,4452,0.001999855,#N/A,#N/A,#N/A,#N/A,0.001999855
Algorithm,1228,0.001843691,0.001843691,#N/A,#N/A,#N/A,#N/A
Knapsack,4939,0.001008749,#N/A,0.001008749,#N/A,#N/A,#N/A
Recursive Knapsack,4939,0.013070583,#N/A,#N/A,0.013070583,#N/A,#N/A
Dynamic,3927,0.001000643,#N/A,#N/A,#N/A,0.001000643,#N/A
Static,5968,0.003004313,#N/A,#N/A,#N/A,#N/A,0.003004313
Algorithm,1021,0.003772974,0.003772974,#N/A,#N/A,#N/A,#N/A
Knapsack,4536,0.000998974,#N/A,0.000998974,#N/A,#N/A,#N/A
Recursive Knapsack,4536,0.152764559,#N/A,#N/A,0.152764559,#N/A,#N/A
Dynamic,3753,0.00100112,#N/A,#N/A,#N/A,0.00100112,#N/A
Static,5874,0.001998663,#N/A,#N/A,#N/A,#N/A,0.001998663
Algorithm,1771,0.001981497,0.001981497,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,5369,0.01199913,#N/A,#N/A,0.01199913,#N/A,#N/A
Dynamic,5329,0.00300169,#N/A,#N/A,#N/A,0.00300169,#N/A
Static,7345,0.002231121,#N/A,#N/A,#N/A,#N/A,0.002231121
Algorithm,1211,0.001997948,0.001997948,#N/A,#N/A,#N/A,#N/A
Knapsack,4564,0.001015902,#N/A,0.001015902,#N/A,#N/A,#N/A
Recursive Knapsack,4564,0.018853903,#N/A,#N/A,0.018853903,#N/A,#N/A
Dynamic,3921,0.001999855,#N/A,#N/A,#N/A,0.001999855,#N/A
Static,5465,0.003003359,#N/A,#N/A,#N/A,#N/A,0.003003359
Algorithm,1720,0.002151728,0.002151728,#N/A,#N/A,#N/A,#N/A
Knapsack,5037,0.000522852,#N/A,0.000522852,#N/A,#N/A,#N/A
Recursive Knapsack,5037,0.015223503,#N/A,#N/A,0.015223503,#N/A,#N/A
Dynamic,4785,0.001012325,#N/A,#N/A,#N/A,0.001012325,#N/A
Static,4904,0.002561808,#N/A,#N/A,#N/A,#N/A,0.002561808
Algorithm,1596,0.002014637,0.002014637,#N/A,#N/A,#N/A,#N/A
Knapsack,4815,0.001257658,#N/A,0.001257658,#N/A,#N/A,#N/A
Recursive Knapsack,4815,0.01257062,#N/A,#N/A,0.01257062,#N/A,#N/A
Dynamic,5097,0.001105309,#N/A,#N/A,#N/A,0.001105309,#N/A
Static,3255,0.001266718,#N/A,#N/A,#N/A,#N/A,0.001266718
Algorithm,1795,0.002073765,0.002073765,#N/A,#N/A,#N/A,#N/A
Knapsack,5189,0.001214743,#N/A,0.001214743,#N/A,#N/A,#N/A
Recursive Knapsack,5189,0.007400513,#N/A,#N/A,0.007400513,#N/A,#N/A
Dynamic,5239,0.00201273,#N/A,#N/A,#N/A,0.00201273,#N/A
Static,5176,0.002997875,#N/A,#N/A,#N/A,#N/A,0.002997875
Algorithm,1498,0.00113821,0.00113821,#N/A,#N/A,#N/A,#N/A
Knapsack,4849,0.00146699,#N/A,0.00146699,#N/A,#N/A,#N/A
Recursive Knapsack,4849,0.067887068,#N/A,#N/A,0.067887068,#N/A,#N/A
Dynamic,4562,0.003636122,#N/A,#N/A,#N/A,0.003636122,#N/A
